Disease Name,Cases,Location Name,Country Code,Region Type,Lattitude,Longitude,Region Boundary,TimeStampStart,TimeStampEnd,Source File
Dengue Fever,30,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",12/19/2020 0:00,12/25/2020 0:00,Data/Sri Lanka 2021/vol_48_no_01-english.pdf
Dysentery,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",12/19/2020 0:00,12/25/2020 0:00,Data/Sri Lanka 2021/vol_48_no_01-english.pdf
Encephalitis,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",12/19/2020 0:00,12/25/2020 0:00,Data/Sri Lanka 2021/vol_48_no_01-english.pdf
Enteric Fever,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",12/19/2020 0:00,12/25/2020 0:00,Data/Sri Lanka 2021/vol_48_no_01-english.pdf
Food Poisoning,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",12/19/2020 0:00,12/25/2020 0:00,Data/Sri Lanka 2021/vol_48_no_01-english.pdf
Leptospirosis,6,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",12/19/2020 0:00,12/25/2020 0:00,Data/Sri Lanka 2021/vol_48_no_01-english.pdf
Typhus Fever,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",12/19/2020 0:00,12/25/2020 0:00,Data/Sri Lanka 2021/vol_48_no_01-english.pdf
Viral Hepatitis,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",12/19/2020 0:00,12/25/2020 0:00,Data/Sri Lanka 2021/vol_48_no_01-english.pdf
Human Rabies,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",12/19/2020 0:00,12/25/2020 0:00,Data/Sri Lanka 2021/vol_48_no_01-english.pdf
Chickenpox,2,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",12/19/2020 0:00,12/25/2020 0:00,Data/Sri Lanka 2021/vol_48_no_01-english.pdf
