"[14.179572105407715, 9.044567108154297, 21.73496437072754]","[8.975750923156738, 4.922550678253174, 17.06165313720703]","[10.005803108215332, 7.0521955490112305, 15.22168254852295]","[17.802339553833008, 10.650978088378906, 25.240034103393555]","[18.02471160888672, 14.448041915893555, 21.290559768676758]","[6.950135707855225, 4.813114166259766, 10.809258460998535]","[21.497568130493164, 14.258811950683594, 30.657180786132812]","[8.663260459899902, 4.878815650939941, 13.446396827697754]","[2.3156538009643555, 1.6204204559326172, 4.651027679443359]","[14.670266151428223, 8.28040885925293, 18.953205108642578]","[8.849581718444824, 5.033430576324463, 14.42518424987793]","[9.852052688598633, 5.0830583572387695, 14.144598007202148]","[1.88536536693573, 1.5172319412231445, 2.3333871364593506]","[12.38575553894043, 4.833415508270264, 26.598037719726562]","[6.05969762802124, 2.4627020359039307, 8.761687278747559]","[14.343369483947754, 8.570781707763672, 20.526966094970703]","[6.099716663360596, 4.774068355560303, 8.688333511352539]","[10.314848899841309, 6.580212116241455, 17.577062606811523]","[2.1040117740631104, 1.139822006225586, 3.9948067665100098]","[6.392402648925781, 5.423202037811279, 7.861086368560791]","[13.599614143371582, 9.684515953063965, 18.17243194580078]","[7.666774749755859, 3.731929063796997, 18.274805068969727]","[6.518521785736084, 4.710383892059326, 11.065211296081543]","[8.319903373718262, 3.810343027114868, 13.549925804138184]","[6.57859468460083, 2.2310664653778076, 11.61151123046875]"
"[33.2891960144043, 24.135055541992188, 44.60483932495117]","[25.227840423583984, 16.613981246948242, 36.7847785949707]","[19.791128158569336, 13.206557273864746, 38.501285552978516]","[40.69513702392578, 33.861793518066406, 47.16427230834961]","[14.989603996276855, 12.706685066223145, 18.897781372070312]","[16.09098243713379, 14.188263893127441, 19.005159378051758]","[15.964879035949707, 12.782285690307617, 18.236093521118164]","[21.370407104492188, 16.56979751586914, 27.970703125]","[24.182830810546875, 20.741992950439453, 27.361249923706055]","[14.208815574645996, 12.495328903198242, 16.819761276245117]","[17.967748641967773, 12.31062126159668, 26.803314208984375]","[14.745631217956543, 11.770307540893555, 21.67354965209961]","[27.607566833496094, 22.850818634033203, 33.513004302978516]","[18.352468490600586, 13.165032386779785, 32.513099670410156]","[26.131610870361328, 18.100929260253906, 33.44328689575195]","[26.532012939453125, 18.458349227905273, 36.77561569213867]","[16.54961585998535, 14.728934288024902, 19.443599700927734]","[22.46724510192871, 14.766968727111816, 38.18172836303711]","[31.897418975830078, 25.600772857666016, 37.60442352294922]","[15.556536674499512, 12.181157112121582, 22.22020149230957]","[37.919071197509766, 31.431936264038086, 46.04529571533203]","[18.195093154907227, 11.989306449890137, 28.291547775268555]","[13.403493881225586, 10.603222846984863, 18.4317569732666]","[30.108848571777344, 21.7707576751709, 36.5025520324707]","[30.556053161621094, 19.950176239013672, 42.64618682861328]"
"[4.563673496246338, 2.6763803958892822, 6.069340705871582]","[2.722862482070923, 0.9258769154548645, 4.56119966506958]","[1.826583743095398, 1.2149146795272827, 3.107553720474243]","[5.183628559112549, 3.8002419471740723, 6.872053623199463]","[4.528581619262695, 3.0469677448272705, 5.259091854095459]","[6.7897162437438965, 3.8272225856781006, 9.289972305297852]","[2.4531052112579346, 1.3424108028411865, 4.594348430633545]","[3.822786569595337, 1.6607005596160889, 6.765519142150879]","[1.1292978525161743, 0.6523845791816711, 1.503186821937561]","[6.6807403564453125, 4.68765115737915, 9.195036888122559]","[1.5309137105941772, 1.2066401243209839, 2.0098836421966553]","[2.1709508895874023, 1.1365529298782349, 3.881803512573242]","[0.913889467716217, 0.6427338719367981, 1.3534660339355469]","[2.6311850547790527, 1.4376757144927979, 5.043486595153809]","[1.6184688806533813, 0.9790869355201721, 2.8338685035705566]","[2.79408860206604, 1.9638103246688843, 4.199438095092773]","[5.0250163078308105, 2.3694710731506348, 7.461512565612793]","[2.9029126167297363, 1.4630993604660034, 4.789460182189941]","[1.40470552444458, 0.7148643136024475, 4.043271064758301]","[1.8541011810302734, 1.2814208269119263, 3.204833984375]","[4.407562732696533, 3.0048811435699463, 5.913222312927246]","[2.1473731994628906, 0.9128627181053162, 5.3255615234375]","[4.9819416999816895, 1.7319785356521606, 11.237405776977539]","[4.832589149475098, 3.3311827182769775, 6.617376804351807]","[1.8849848508834839, 1.093408465385437, 2.8704516887664795]"
"[1.7977813482284546, 0.322787344455719, 3.48402738571167]","[0.08770035207271576, 0.0, 0.3417242169380188]","[0.31381163001060486, 0.10766618698835373, 0.805452287197113]","[1.9987257719039917, 0.32510262727737427, 4.123500347137451]","[0.031100131571292877, 0.011107498779892921, 0.046796295791864395]","[0.1028699278831482, 0.013042794540524483, 0.2199438363313675]","[0.027784159407019615, 0.010452426970005035, 0.0868033841252327]","[0.21796128153800964, 0.006851478945463896, 1.5555121898651123]","[0.07458574324846268, 0.018456580117344856, 0.15522287786006927]","[0.05874088779091835, 0.022318439558148384, 0.15616253018379211]","[0.1381879597902298, 0.028772613033652306, 0.38933947682380676]","[0.16382218897342682, 0.005702530033886433, 0.35164186358451843]","[0.05083377659320831, 0.0, 0.13165350258350372]","[0.03331192582845688, 0.0, 0.14306235313415527]","[0.025270607322454453, 0.0, 0.10306791216135025]","[0.11862164735794067, 0.02571428380906582, 0.3282811939716339]","[0.09754279255867004, 0.006000983063131571, 0.3085438311100006]","[0.6759164929389954, 0.007647546473890543, 1.849802851676941]","[0.043105728924274445, 0.0, 0.11498762667179108]","[0.4851270616054535, 0.08347143977880478, 1.1586577892303467]","[0.7521890997886658, 0.1972791701555252, 2.238028049468994]","[0.01937784254550934, 0.0, 0.05240383371710777]","[0.08771556615829468, 0.0024737881030887365, 0.3797667622566223]","[0.21545657515525818, 0.017741559073328972, 0.8877667188644409]","[0.08883686363697052, 0.0043636769987642765, 0.21896497905254364]"
"[8.880045890808105, 5.182910442352295, 14.181838989257812]","[2.1957218647003174, 0.4598431885242462, 4.877440929412842]","[3.720620632171631, 1.7407853603363037, 6.280296802520752]","[12.809259414672852, 6.786096096038818, 19.8653621673584]","[4.494877815246582, 4.35261869430542, 4.846294403076172]","[5.636062145233154, 3.5551130771636963, 8.497163772583008]","[4.09518575668335, 2.262570381164551, 7.156984806060791]","[4.340019226074219, 3.1037824153900146, 5.186039447784424]","[0.41075897216796875, 0.25966858863830566, 0.5857142210006714]","[6.599701881408691, 4.650874137878418, 10.731907844543457]","[2.8682680130004883, 1.1815742254257202, 6.347762584686279]","[2.280748128890991, 0.9436244964599609, 5.1604719161987305]","[0.7280805706977844, 0.25954708456993103, 1.5374910831451416]","[1.1469924449920654, 0.32741132378578186, 3.3380935192108154]","[0.6198088526725769, 0.21032355725765228, 1.4207741022109985]","[4.265961647033691, 1.5560970306396484, 7.467800617218018]","[4.469411849975586, 3.117353916168213, 7.135003566741943]","[4.134127140045166, 1.3762099742889404, 10.985997200012207]","[0.7868923544883728, 0.2745204567909241, 1.6242607831954956]","[2.6353819370269775, 1.5739109516143799, 3.689011335372925]","[6.34260368347168, 3.5858633518218994, 9.549375534057617]","[2.0292253494262695, 0.4379217326641083, 5.2408318519592285]","[4.108656406402588, 2.5761313438415527, 6.154643535614014]","[4.6530046463012695, 1.9985002279281616, 10.718335151672363]","[0.8183373808860779, 0.2896142899990082, 1.947053074836731]"
"[2.1102020740509033, 0.10113726556301117, 13.144768714904785]","[0.026998188346624374, 0.0, 0.38135308027267456]","[0.47412431240081787, 0.0910520926117897, 0.8891315460205078]","[0.44432586431503296, 0.10042420774698257, 1.9502798318862915]","[0.47222718596458435, 0.21605832874774933, 0.7477394342422485]","[2.7664363384246826, 0.8425808548927307, 5.511050224304199]","[0.050224218517541885, 0.0011246270732954144, 0.19673801958560944]","[1.1719948053359985, 0.24293431639671326, 4.3623223304748535]","[0.008309985511004925, 0.0028571428265422583, 0.017084265127778053]","[2.2696642875671387, 0.9309200644493103, 4.333898544311523]","[0.16999754309654236, 0.04872898384928703, 0.409164696931839]","[0.1310121715068817, 0.01692817360162735, 0.4364601969718933]","[0.01617402397096157, 0.0, 0.08058900386095047]","[0.04843972995877266, 0.0, 0.29220542311668396]","[0.029205644503235817, 0.002142857061699033, 0.12484879046678543]","[0.20693816244602203, 0.038609154522418976, 0.4218614101409912]","[2.2154159545898438, 1.0952593088150024, 3.709699869155884]","[0.8964177370071411, 0.11736229807138443, 2.377869129180908]","[0.017451677471399307, 0.0, 0.12771673500537872]","[0.357771635055542, 0.07254554331302643, 0.8869937062263489]","[0.11774520576000214, 0.06412441283464432, 0.3199060261249542]","[0.009268276393413544, 0.0, 0.03415213152766228]","[1.485121488571167, 0.4383646845817566, 4.9747090339660645]","[0.08305870741605759, 0.007655247114598751, 0.19194211065769196]","[0.009298605844378471, 0.0, 0.06556196510791779]"
"[0.2623195946216583, 0.0, 1.319921851158142]","[0.0022719530388712883, 0.0, 0.025001471862196922]","[1.9814709424972534, 0.013768693432211876, 4.591378688812256]","[0.22651518881320953, 0.0, 1.983766794204712]","[0.01642102748155594, 0.0013047914253547788, 0.04118708521127701]","[0.2620479166507721, 0.07059931755065918, 1.2663384675979614]","[0.003300315700471401, 0.0, 0.013661625795066357]","[0.22766783833503723, 0.004285714123398066, 0.8308901786804199]","[0.014398057945072651, 0.0, 0.04615014046430588]","[0.09756487607955933, 0.00018864453886635602, 0.36747780442237854]","[0.12086380273103714, 0.00023402008810080588, 0.9891142249107361]","[0.07252813130617142, 0.017471926286816597, 0.312744677066803]","[0.008884336799383163, 0.0, 0.04516245052218437]","[0.0035344415809959173, 0.0, 0.022389782592654228]","[0.007123318966478109, 0.0, 0.04208981990814209]","[0.041093859821558, 0.0, 0.3102707862854004]","[0.5315175652503967, 0.012345484457910061, 2.8999011516571045]","[1.5480904579162598, 0.0, 5.411589622497559]","[0.00673278234899044, 0.0, 0.0327443964779377]","[1.5723873376846313, 0.24331378936767578, 3.739093780517578]","[0.040349483489990234, 0.0, 0.40074458718299866]","[0.0006422746228054166, 0.0, 0.007761614862829447]","[1.6689538955688477, 0.03386526182293892, 3.935117483139038]","[0.004684322979301214, 0.0, 0.04674398526549339]","[0.0006737122312188148, 0.0, 0.0038770854007452726]"
"[0.33167409896850586, 0.0010952429147437215, 1.8313229084014893]","[0.026319721713662148, 0.0, 0.3819863498210907]","[1.5748882293701172, 0.31885260343551636, 5.005565643310547]","[0.16844019293785095, 0.0030082070734351873, 0.4792468547821045]","[3.6058971881866455, 2.3826496601104736, 5.1417059898376465]","[6.394889831542969, 0.35413429141044617, 17.611291885375977]","[1.6976627111434937, 0.43123859167099, 2.6228373050689697]","[1.3061964511871338, 0.0007337970891967416, 6.262216091156006]","[0.75412517786026, 0.06568093597888947, 1.3992911577224731]","[7.04724645614624, 4.793830871582031, 9.653594017028809]","[0.9877616763114929, 0.19574153423309326, 3.179882764816284]","[2.413299083709717, 0.8091095685958862, 3.3632168769836426]","[2.859907388687134, 0.6940067410469055, 9.077527046203613]","[0.2914034426212311, 0.0, 1.8525011539459229]","[0.618788480758667, 0.0, 3.824934244155884]","[0.3999548554420471, 0.06594481319189072, 0.870378315448761]","[6.0321455001831055, 1.0164551734924316, 19.01015281677246]","[0.3198355734348297, 0.0, 2.0466785430908203]","[1.322983980178833, 0.0, 4.044078826904297]","[2.6412785053253174, 0.6013222336769104, 4.820082187652588]","[0.15987367928028107, 0.0, 0.7191209197044373]","[0.03212330490350723, 0.0, 0.14738890528678894]","[3.992732286453247, 0.7653794884681702, 6.660930156707764]","[0.15291047096252441, 0.0, 1.4128239154815674]","[0.7057657837867737, 0.0, 2.5913941860198975]"
"[0.004345271736383438, 0.0, 0.021656999364495277]","[0.004290976095944643, 0.0, 0.20228154957294464]","[0.15684229135513306, 0.0, 1.0803889036178589]","[0.005664832424372435, 0.0, 0.023987947031855583]","[0.19559818506240845, 0.059156619012355804, 0.2965497374534607]","[0.3318486511707306, 0.05449569225311279, 1.0718553066253662]","[0.02615681104362011, 0.0, 0.14560820162296295]","[0.0037840306758880615, 0.0, 0.036236222833395004]","[0.015783561393618584, 0.0, 0.04902699962258339]","[0.25258156657218933, 0.010466540232300758, 0.5908687710762024]","[0.022188488394021988, 0.0, 0.15233418345451355]","[0.014929748140275478, 0.0, 0.05398790165781975]","[0.0001298701245104894, 0.0, 0.0014285714132711291]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.028256982564926147, 0.0, 0.3875812888145447]","[0.043102096766233444, 0.0005020078388042748, 0.2509724199771881]","[0.010269279591739178, 0.0, 0.22667863965034485]","[0.0, 0.0, 0.0]","[0.4581575393676758, 0.08510135114192963, 1.1911569833755493]","[0.006139012519270182, 0.0, 0.12043686956167221]","[0.001688460004515946, 0.0, 0.01764783076941967]","[0.16480356454849243, 0.0, 0.5080904364585876]","[0.011058063246309757, 0.0, 0.2432773858308792]","[0.0, 0.0, 0.0]"
"[8.10901165008545, 4.753353595733643, 12.585624694824219]","[7.262118339538574, 2.63010573387146, 16.045129776000977]","[12.656692504882812, 8.375067710876465, 17.4886531829834]","[5.0061869621276855, 2.6008219718933105, 6.709228038787842]","[27.933853149414062, 25.79452133178711, 30.52705955505371]","[14.392867088317871, 9.527654647827148, 17.593387603759766]","[25.50142478942871, 22.793468475341797, 30.63423728942871]","[10.022472381591797, 5.8960394859313965, 13.126983642578125]","[0.5824137330055237, 0.401895135641098, 0.7738250494003296]","[22.93117332458496, 16.817617416381836, 27.601980209350586]","[13.446035385131836, 9.156957626342773, 24.2011661529541]","[21.249177932739258, 15.140093803405762, 27.39119529724121]","[2.3005118370056152, 0.5673128366470337, 4.457113742828369]","[14.665867805480957, 5.890572547912598, 29.282129287719727]","[8.981738090515137, 2.793569803237915, 17.012271881103516]","[12.149209976196289, 7.188443660736084, 18.22044563293457]","[11.937860488891602, 8.79020881652832, 20.114953994750977]","[11.698583602905273, 5.174461364746094, 19.842161178588867]","[3.5135557651519775, 1.7374649047851562, 5.550375938415527]","[15.046309471130371, 11.028039932250977, 20.874069213867188]","[6.811612606048584, 2.9077188968658447, 14.786364555358887]","[15.73807144165039, 9.935914993286133, 26.5352725982666]","[19.16362190246582, 14.468114852905273, 25.82210922241211]","[3.0380210876464844, 1.4912444353103638, 5.061667442321777]","[3.743687868118286, 2.689250946044922, 4.8197479248046875]"
