['30'],['16'],['6'],['6'],['6'],['0'],['6'],['1'],['2'],['13'],['0'],['1'],['1'],['3'],['278'],['0'],['2'],['3'],['2'],['3'],['3'],['10'],['0'],['1'],['3'],['4']
['35'],['17'],['18'],['18'],['36'],['54'],['90'],['144'],['234'],['378'],['612'],['990'],['160'],['259'],['419'],['678'],['109'],['177'],['287'],['465'],['121'],['197'],['318'],['515'],['834'],['752']
['30'],['20'],['18'],['8'],['1'],['0'],['7'],['4'],['3'],['5'],['2'],['1'],['0'],['2'],['265'],['0'],['1'],['14'],['11'],['0'],['1'],['7'],['1'],['2'],['11'],['9']
['15'],['19'],['17'],['9'],['5'],['3'],['4'],['4'],['9'],['8'],['2'],['0'],['0'],['0'],['173'],['0'],['4'],['13'],['9'],['4'],['0'],['4'],['1'],['7'],['1'],['8']
['26'],['18'],['17'],['13'],['3'],['1'],['3'],['5'],['6'],['13'],['2'],['1'],['3'],['0'],['249'],['1'],['4'],['16'],['9'],['2'],['1'],['0'],['3'],['13'],['4'],['8']
['21'],['20'],['12'],['17'],['1'],['1'],['2'],['3'],['3'],['12'],['3'],['1'],['1'],['0'],['237'],['1'],['4'],['7'],['12'],['3'],['0'],['1'],['0'],['14'],['4'],['9']
['28'],['17'],['10'],['9'],['0'],['0'],['2'],['9'],['4'],['2'],['3'],['3'],['0'],['0'],['274'],['0'],['5'],['10'],['3'],['1'],['3'],['0'],['1'],['9'],['7'],['5']
['40'],['33'],['25'],['12'],['1'],['0'],['4'],['8'],['8'],['7'],['2'],['0'],['4'],['1'],['318'],['3'],['13'],['9'],['12'],['2'],['1'],['0'],['1'],['13'],['7'],['12']
['73'],['45'],['15'],['11'],['3'],['1'],['8'],['4'],['9'],['7'],['1'],['0'],['4'],['0'],['241'],['0'],['7'],['25'],['8'],['4'],['0'],['1'],['5'],['13'],['6'],['12']
['51'],['25'],['14'],['15'],['1'],['0'],['1'],['7'],['12'],['3'],['0'],['1'],['3'],['0'],['155'],['1'],['8'],['10'],['9'],['2'],['2'],['0'],['2'],['9'],['11'],['12']
['75'],['38'],['20'],['10'],['8'],['1'],['6'],['3'],['9'],['9'],['0'],['5'],['3'],['0'],['171'],['2'],['9'],['38'],['8'],['5'],['5'],['2'],['0'],['23'],['19'],['9']
['95'],['55'],['25'],['9'],['2'],['3'],['3'],['9'],['5'],['7'],['0'],['0'],['2'],['0'],['95'],['1'],['12'],['43'],['8'],['2'],['0'],['2'],['1'],['20'],['10'],['22']
['145'],['45'],['49'],['16'],['1'],['2'],['6'],['15'],['5'],['4'],['0'],['0'],['0'],['0'],['72'],['1'],['3'],['35'],['12'],['10'],['3'],['3'],['10'],['21'],['10'],['14']
['57'],['53'],['28'],['16'],['0'],['2'],['13'],['5'],['12'],['2'],['1'],['1'],['2'],['0'],['83'],['1'],['2'],['48'],['19'],['9'],['2'],['2'],['5'],['26'],['16'],['19']
['82'],['34'],['32'],['18'],['1'],['1'],['8'],['12'],['6'],['0'],['2'],['2'],['0'],['0'],['48'],['0'],['2'],['31'],['8'],['2'],['2'],['0'],['3'],['7'],['15'],['9']
['88'],['46'],['22'],['20'],['1'],['3'],['5'],['8'],['10'],['0'],['0'],['0'],['2'],['0'],['44'],['0'],['3'],['54'],['16'],['10'],['2'],['4'],['2'],['17'],['18'],['10']
['91'],['36'],['21'],['11'],['1'],['0'],['6'],['5'],['0'],['4'],['0'],['1'],['1'],['0'],['58'],['1'],['1'],['11'],['4'],['5'],['0'],['2'],['5'],['3'],['19'],['19']
['57'],['37'],['46'],['29'],['2'],['3'],['13'],['17'],['32'],['5'],['1'],['1'],['2'],['0'],['71'],['5'],['7'],['34'],['18'],['9'],['3'],['9'],['4'],['26'],['30'],['20']
